C,Load Hourly Data for Day-ahead and Real-time
C,Filename: OI_darthrmwh_iso_4005_20190501_20190531.csv
C,Time period: 2019-05-01 to 2019-05-31
C,Location/Node: .Z.RHODEISLAND
C,Report generated 2020-05-10 09:29:36 EST
H,,,Day Ahead,Real Time
H,Date,Hour ending,MWH,MWH
D,2019-05-21,12,949.0,838.0
D,2019-05-21,13,876.1,839.8
D,2019-05-21,14,874.3,852.2
D,2019-05-21,15,874.3,853.6
D,2019-05-21,16,859.1,856.9
D,2019-05-21,17,810.6,863.2
D,2019-05-21,18,839.2,861.6
D,2019-05-21,19,849.9,861.3
D,2019-05-21,20,843.4,848.0
D,2019-05-21,21,830.5,860.2
D,2019-05-21,22,840.7,818.0
D,2019-05-21,23,715.6,728.9
D,2019-05-21,24,633.9,665.3
D,2019-05-22,01,603.3,612.6
D,2019-05-22,02,581.7,584.9
D,2019-05-22,03,536.1,571.0
D,2019-05-22,04,522.1,564.0
D,2019-05-22,05,556.5,583.2
D,2019-05-22,06,621.2,618.3
D,2019-05-22,07,804.0,696.9
D,2019-05-22,08,851.9,763.1
D,2019-05-22,09,847.0,790.8
D,2019-05-22,10,826.6,809.0
D,2019-05-22,11,772.8,821.2
D,2019-05-22,12,766.2,835.2
D,2019-05-22,13,755.9,832.0
D,2019-05-22,14,758.3,848.9
D,2019-05-22,15,762.2,848.5
D,2019-05-22,16,760.3,851.4
D,2019-05-22,17,825.8,849.9
D,2019-05-22,18,836.7,848.7
D,2019-05-22,19,848.1,843.2
D,2019-05-22,20,867.8,835.2
D,2019-05-22,21,907.9,843.2
D,2019-05-22,22,866.8,801.5
D,2019-05-22,23,726.7,722.2
D,2019-05-22,24,629.7,658.2
D,2019-05-23,01,607.5,607.6
D,2019-05-23,02,550.2,579.7
D,2019-05-23,03,535.0,569.9
D,2019-05-23,04,545.0,561.5
D,2019-05-23,05,540.2,579.4
D,2019-05-23,06,610.3,615.8
D,2019-05-23,07,755.9,704.6
D,2019-05-23,08,796.0,775.5
D,2019-05-23,09,836.1,812.9
D,2019-05-23,10,851.8,838.5
D,2019-05-23,11,881.3,852.6
D,2019-05-23,12,881.3,856.3
D,2019-05-23,13,855.3,850.5
D,2019-05-23,14,852.5,852.3
D,2019-05-23,15,918.4,847.2
D,2019-05-23,16,851.8,839.7
D,2019-05-23,17,875.2,845.6
D,2019-05-23,18,918.6,853.4
D,2019-05-23,19,933.7,853.3
D,2019-05-23,20,941.5,849.2
D,2019-05-23,21,937.4,850.8
D,2019-05-23,22,899.6,809.2
D,2019-05-23,23,816.7,735.9
D,2019-05-23,24,690.1,668.6
D,2019-05-24,01,664.3,622.9
D,2019-05-24,02,640.2,599.9
D,2019-05-24,03,624.4,583.8
D,2019-05-24,04,612.0,576.6
D,2019-05-24,05,639.6,588.2
D,2019-05-24,06,652.8,617.6
D,2019-05-24,07,865.7,703.8
D,2019-05-24,08,892.1,782.2
D,2019-05-24,09,917.5,810.5
D,2019-05-24,10,886.0,838.0
D,2019-05-24,11,923.5,860.7
D,2019-05-24,12,938.4,869.3
D,2019-05-24,13,838.6,858.5
D,2019-05-24,14,825.1,864.1
D,2019-05-24,15,829.7,864.6
D,2019-05-24,16,823.1,859.1
D,2019-05-24,17,821.7,852.4
D,2019-05-24,18,820.9,834.9
D,2019-05-24,19,816.3,824.8
D,2019-05-24,20,807.4,820.5
D,2019-05-24,21,822.5,819.8
D,2019-05-24,22,806.3,785.2
D,2019-05-24,23,739.4,727.0
D,2019-05-24,24,654.4,663.3
D,2019-05-25,01,612.7,611.2
D,2019-05-25,02,613.6,582.5
D,2019-05-25,03,588.9,562.2
D,2019-05-25,04,554.8,553.2
D,2019-05-25,05,572.6,556.8
D,2019-05-25,06,561.0,561.1
D,2019-05-25,07,594.2,599.7
D,2019-05-25,08,649.2,650.5
D,2019-05-25,09,703.9,703.6
D,2019-05-25,10,742.1,739.8
D,2019-05-25,11,762.9,759.9
D,2019-05-25,12,771.4,768.6
D,2019-05-25,13,771.9,775.1
D,2019-05-25,14,774.9,774.7
D,2019-05-25,15,765.8,766.5
D,2019-05-25,16,791.1,764.0
D,2019-05-25,17,830.8,776.4
D,2019-05-25,18,836.4,779.7
D,2019-05-25,19,825.4,771.6
D,2019-05-25,20,819.0,763.3
D,2019-05-25,21,809.5,775.2
D,2019-05-25,22,794.1,754.7
D,2019-05-25,23,731.9,705.2
D,2019-05-25,24,669.5,647.8
D,2019-05-26,01,614.0,598.0
D,2019-05-26,02,500.9,574.7
D,2019-05-26,03,492.4,558.8
D,2019-05-26,04,484.2,549.7
D,2019-05-26,05,483.4,550.3
D,2019-05-26,06,477.3,554.4
D,2019-05-26,07,505.8,579.0
D,2019-05-26,08,550.9,625.8
D,2019-05-26,09,624.1,683.0
D,2019-05-26,10,790.2,726.8
D,2019-05-26,11,794.8,767.4
D,2019-05-26,12,816.3,799.1
D,2019-05-26,13,849.7,827.3
D,2019-05-26,14,880.6,846.8
D,2019-05-26,15,900.5,862.6
D,2019-05-26,16,911.7,884.4
D,2019-05-26,17,967.7,906.7
D,2019-05-26,18,983.5,925.8
D,2019-05-26,19,969.0,924.7
D,2019-05-26,20,977.6,915.8
D,2019-05-26,21,990.9,925.8
D,2019-05-26,22,953.9,902.3
D,2019-05-26,23,801.1,844.0
D,2019-05-26,24,741.7,775.6
D,2019-05-27,01,650.1,703.0
D,2019-05-27,02,624.9,672.8
D,2019-05-27,03,586.2,643.5
D,2019-05-27,04,577.8,625.4
D,2019-05-27,05,584.4,618.0
D,2019-05-27,06,578.7,612.1
D,2019-05-27,07,603.1,640.4
D,2019-05-27,08,648.4,691.8
D,2019-05-27,09,674.3,757.7
D,2019-05-27,10,765.1,811.3
D,2019-05-27,11,853.0,840.2
D,2019-05-27,12,845.8,871.0
D,2019-05-27,13,851.7,893.1
D,2019-05-27,14,837.0,897.8
D,2019-05-27,15,858.2,902.2
D,2019-05-27,16,857.5,916.6
D,2019-05-27,17,877.9,937.0
D,2019-05-27,18,924.1,941.4
D,2019-05-27,19,959.9,923.2
D,2019-05-27,20,935.2,905.8
D,2019-05-27,21,970.6,916.3
D,2019-05-27,22,905.4,869.8
D,2019-05-27,23,664.1,782.7
D,2019-05-27,24,588.3,706.0
D,2019-05-28,01,624.4,658.1
D,2019-05-28,02,563.1,622.0
D,2019-05-28,03,526.3,602.1
D,2019-05-28,04,535.2,597.7
D,2019-05-28,05,541.9,609.3
D,2019-05-28,06,602.1,634.5
D,2019-05-28,07,707.8,714.2
D,2019-05-28,08,789.0,785.2
D,2019-05-28,09,827.0,819.6
D,2019-05-28,10,852.0,842.4
D,2019-05-28,11,879.2,869.1
D,2019-05-28,12,877.2,884.9
D,2019-05-28,13,867.8,880.0
D,2019-05-28,14,864.7,885.8
D,2019-05-28,15,850.3,877.2
D,2019-05-28,16,801.8,870.7
D,2019-05-28,17,865.2,874.9
D,2019-05-28,18,866.9,884.3
D,2019-05-28,19,858.1,885.8
D,2019-05-28,20,851.7,873.9
D,2019-05-28,21,864.2,857.8
D,2019-05-28,22,845.2,804.2
D,2019-05-28,23,691.7,736.1
D,2019-05-28,24,564.6,667.9
D,2019-05-29,01,649.6,619.3
D,2019-05-29,02,629.9,586.5
D,2019-05-29,03,580.3,571.6
D,2019-05-29,04,592.5,568.3
D,2019-05-29,05,595.1,582.6
D,2019-05-29,06,629.0,616.0
D,2019-05-29,07,753.2,703.9
D,2019-05-29,08,829.5,777.9
D,2019-05-29,09,857.5,813.4
D,2019-05-29,10,874.7,835.8
D,2019-05-29,11,905.3,849.5
D,2019-05-29,12,830.0,857.7
D,2019-05-29,13,817.9,857.6
D,2019-05-29,14,827.9,856.2
D,2019-05-29,15,812.4,841.3
D,2019-05-29,16,809.6,832.6
D,2019-05-29,17,838.9,832.7
D,2019-05-29,18,865.6,846.4
D,2019-05-29,19,856.1,860.0
