PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
6,18,11,408,404,19,1,834.927,45.681,647.638,623.09
6,18,12,68,439,19,1,505.23,36.472,410.683,395.06
6,18,13,203,434,18,1,624.402,37.557,504.688,485.775
6,18,14,129,373,18,1,474.01,33.671,390.226,375.275
6,18,15,31,251,18,0,261.916,30.344,219.016,209.084
6,18,16,0,104,18,0,98.766,22.341,85.92,79.136
6,18,17,30,114,17,0,111.948,20.003,96.794,89.777
6,18,18,0,8,17,0,7.566,14.985,6.806,1.581
6,18,19,0,0,16,0,0,16,0,0
6,18,20,0,0,16,0,0,16,0,0
6,18,21,0,0,16,1,0,16,0,0
6,18,22,0,0,15,2,0,15,0,0
6,18,23,0,0,15,3,0,15,0,0
6,19,0,0,0,15,4,0,15,0,0
6,19,1,0,0,15,5,0,15,0,0
6,19,2,0,0,15,5,0,15,0,0
6,19,3,0,0,15,5,0,15,0,0
6,19,4,0,8,15,5,7.568,13.792,6.845,1.62
6,19,5,55,76,15,5,73.02,15.094,63.195,56.883
6,19,6,478,110,15,4,249.866,19.155,198.071,188.677
6,19,7,626,133,16,4,459.071,25.105,380.6,365.96
6,19,8,630,193,17,3,645.322,31.883,531.87,511.944
6,19,9,863,126,18,2,870.43,41.035,689.959,663.599
6,19,10,563,331,18,1,887.631,46.463,685.571,659.401
6,19,11,906,131,19,1,1046.196,51.745,785.894,755.175
6,19,12,904,130,19,0,1032.243,58.578,746.891,717.986
6,19,13,886,129,20,0,951.647,57.145,693.594,667.075
6,19,14,294,355,20,0,593.082,46.212,457.824,440.591
6,19,15,143,295,19,0,378.608,36.214,306.502,294.141
6,19,16,699,105,19,0,406.539,35.638,311.25,298.749
6,19,17,538,85,18,1,193.017,24.064,137.53,129.603
6,19,18,266,47,17,2,36.072,16.741,32.196,26.496
6,19,19,0,0,16,2,0,16,0,0
6,19,20,0,0,16,3,0,16,0,0
6,19,21,0,0,16,3,0,16,0,0
6,19,22,0,0,15,3,0,15,0,0
6,19,23,0,0,15,3,0,15,0,0
6,20,0,0,0,15,3,0,15,0,0
6,20,1,0,0,15,3,0,15,0,0
6,20,2,0,0,15,3,0,15,0,0
6,20,3,0,0,15,3,0,15,0,0
6,20,4,67,12,15,3,9.169,13.492,8.304,3.052
6,20,5,438,58,16,2,84.369,16.406,56.013,49.845
6,20,6,636,85,17,1,274.928,24.044,207.941,198.296
6,20,7,752,102,17,1,493.778,31.713,394.94,379.836
6,20,8,819,114,18,1,698.399,39.64,552.928,532.198
6,20,9,859,123,18,1,863.61,45.127,670.303,644.793
6,20,10,888,125,19,1,980.961,49.903,743.961,715.19
6,20,11,895,130,19,1,1034.104,51.768,776.712,746.426
6,20,12,890,132,19,1,1020.513,51.602,767.149,737.309
6,20,13,877,127,19,2,941.664,44.831,733.112,704.833
6,20,14,845,123,19,2,804.135,41.218,635.459,611.421
6,20,15,791,115,18,2,620.661,35.237,498.463,479.777
6,20,16,728,94,18,2,408.87,29.204,322.304,309.474
6,20,17,589,75,17,3,194.895,21.131,138.294,130.349
6,20,18,333,42,17,3,32.653,16.634,29.159,23.517
6,20,19,0,0,16,3,0,16,0,0
6,20,20,0,0,16,4,0,16,0,0
6,20,21,0,0,16,3,0,16,0,0
6,20,22,0,0,16,3,0,16,0,0
6,20,23,0,0,16,3,0,16,0,0
6,21,0,0,0,16,3,0,16,0,0
6,21,1,0,0,16,3,0,16,0,0
6,21,2,0,0,16,3,0,16,0,0
6,21,3,0,0,16,3,0,16,0,0
6,21,4,31,11,16,3,9.486,14.522,8.552,3.295
6,21,5,315,74,16,2,87.533,16.495,64.343,58.007
6,21,6,514,117,17,2,266.471,22.671,207.55,197.914
6,21,7,658,136,18,2,477.553,29.862,386.829,371.988
6,21,8,722,159,18,2,675.503,35.629,546.116,525.648
6,21,9,756,180,19,2,839.378,41.31,664.538,639.275
6,21,10,810,170,19,2,957.996,44.711,746.638,717.744
6,21,11,505,380,20,2,908.057,44.778,707.674,680.534
6,21,12,490,379,20,2,885.297,44.077,692.422,665.954
6,21,13,578,305,20,3,853.427,40.569,679.237,653.342
6,21,14,476,286,19,3,675.585,35.49,550.236,529.609
6,21,15,647,173,19,3,587.806,33.045,478.409,460.448
6,21,16,588,135,19,3,388.691,28.193,311.101,298.604
6,21,17,441,102,18,3,187.761,21.915,139.655,131.679
6,21,18,205,50,17,3,38.436,16.756,34.303,28.563
6,21,19,0,0,17,3,0,17,0,0
6,21,20,0,0,17,3,0,17,0,0
6,21,21,0,0,17,3,0,17,0,0
6,21,22,0,0,17,3,0,17,0,0
6,21,23,0,0,16,3,0,16,0,0
6,22,0,0,0,16,3,0,16,0,0
6,22,1,0,0,16,2,0,16,0,0
6,22,2,0,0,16,2,0,16,0,0
6,22,3,0,0,16,2,0,16,0,0
6,22,4,20,9,16,2,8.479,14.265,7.653,2.412
6,22,5,268,79,17,2,89.137,17.557,67.59,61.188
6,22,6,341,133,17,2,228.613,21.653,183.547,174.517
6,22,7,366,210,18,2,393.536,27.532,326.139,313.195
6,22,8,443,262,19,2,578.204,33.857,472.829,455.067
6,22,9,559,281,19,2,770.202,39.295,616.268,593.022
6,22,10,529,344,19,2,867.691,42.289,684.793,658.657
6,22,11,479,388,19,2,889.986,43.123,699.536,672.756
6,22,12,500,376,19,2,892.302,43.245,700.896,674.056
6,22,13,567,311,19,2,849.552,42.198,670.577,645.055
6,22,14,454,294,19,2,666.155,37.494,537.239,517.109
6,22,15,367,260,19,2,490.077,32.44,402.077,386.739
6,22,16,540,135,19,2,368.341,28.712,294.648,282.633
6,22,17,280,110,18,2,161.217,21.789,125.367,117.718
6,22,18,124,51,18,2,41.159,17.792,36.562,30.778
6,22,19,0,0,17,2,0,17,0,0
6,22,20,0,0,17,2,0,17,0,0
6,22,21,0,0,17,2,0,17,0,0
6,22,22,0,0,17,2,0,17,0,0
6,22,23,0,0,17,2,0,17,0,0
6,23,0,0,0,17,2,0,17,0,0
6,23,1,0,0,17,2,0,17,0,0
6,23,2,0,0,17,2,0,17,0,0
6,23,3,0,0,18,2,0,18,0,0
6,23,4,16,8,18,2,7.574,16.296,6.774,1.55
6,23,5,251,76,18,2,85.074,18.464,64.521,58.181
6,23,6,440,127,18,2,252.547,23.295,198.238,188.84
6,23,7,335,217,19,2,383.998,28.355,317.445,304.76
6,23,8,662,176,20,2,649.362,36.626,522.584,503.006
6,23,9,733,180,20,2,819.043,41.687,647.187,622.659
6,23,10,484,360,21,3,840.559,41.094,667.443,642.055
6,23,11,834,155,21,3,997.698,44.654,778.029,747.681
6,23,12,839,150,21,3,988.323,44.802,770.092,740.115
6,23,13,784,169,21,3,904.889,42.925,711.492,684.183
6,23,14,451,296,21,3,665.996,37.347,537.523,517.382
6,23,15,413,249,21,3,512.315,33.25,418.342,402.463
6,23,16,577,124,20,3,374.204,28.662,298.597,286.468
6,23,17,225,116,20,3,154.965,23.112,122.163,114.587
6,23,18,183,50,19,3,40.465,18.759,35.788,30.018
6,23,19,0,0,19,3,0,19,0,0
6,23,20,0,0,19,3,0,19,0,0
6,23,21,0,0,19,3,0,19,0,0
6,23,22,0,0,19,3,0,19,0,0
6,23,23,0,0,19,3,0,19,0,0
6,24,0,0,0,19,3,0,19,0,0
6,24,1,0,0,19,3,0,19,0,0
6,24,2,0,0,19,3,0,19,0,0
6,24,3,0,0,19,3,0,19,0,0
6,24,4,20,10,19,2,9.369,17.375,8.338,3.085
6,24,5,61,73,19,2,69.319,19.061,58.617,52.397
6,24,6,513,106,20,2,255.826,25.351,195.735,186.4
6,24,7,623,135,20,2,457.024,31.274,367.691,353.463
6,24,8,699,154,21,2,652.921,37.915,521.815,502.266
6,24,9,746,166,22,2,813.28,43.478,636.723,612.633
6,24,10,764,179,23,2,922.531,47.574,708.333,681.164
6,24,11,772,184,23,2,972.862,49.1,741.196,712.551
6,24,12,498,379,23,3,893.55,44.566,697.112,670.438
6,24,13,728,192,22,3,880.166,43.121,691.38,664.957
6,24,14,686,186,22,3,747.228,40.106,594.205,571.852
6,24,15,620,172,22,3,571.023,35.784,458.706,441.443
6,24,16,273,196,21,3,307.492,28.24,251.953,241.139
6,24,17,415,93,21,3,175.016,24.433,128.49,120.77
6,24,18,12,46,21,3,42.024,20.893,36.804,31.015
6,24,19,0,0,20,3,0,20,0,0
6,24,20,0,0,20,2,0,20,0,0
6,24,21,0,0,20,2,0,20,0,0
6,24,22,0,0,20,2,0,20,0,0
6,24,23,0,0,20,2,0,20,0,0
6,25,0,0,0,20,2,0,20,0,0
6,25,1,0,0,20,2,0,20,0,0
6,25,2,0,0,20,2,0,20,0,0
6,25,3,0,0,20,2,0,20,0,0
6,25,4,0,5,20,2,4.727,18.278,4.19,0
6,25,5,9,68,20,2,63.455,19.909,55.445,49.289
6,25,6,3,126,21,2,119.446,22.667,103.613,96.448
6,25,7,626,134,21,2,457.075,31.837,366.618,352.424
6,25,8,700,154,22,2,653.165,38.898,519.414,499.955
6,25,9,755,163,23,2,817.607,44.549,636.566,612.482
6,25,10,812,152,23,2,940.705,48.028,720.553,692.84
6,25,11,816,161,23,2,993.496,49.648,754.718,725.453
6,25,12,798,170,23,2,975.734,49.366,742.302,713.606
6,25,13,737,194,23,2,890.816,47.261,684.865,658.726
6,25,14,390,326,23,2,642.221,40.889,509.332,490.247
6,25,15,375,259,22,3,494.974,33.782,403.437,388.053
6,25,16,421,167,22,3,346.481,29.968,278.2,266.656
6,25,17,201,119,21,3,152.805,24.002,121.098,113.545
6,25,18,109,52,21,3,41.898,20.832,36.704,30.917
6,25,19,0,0,20,4,0,20,0,0
6,25,20,0,0,20,3,0,20,0,0
6,25,21,0,0,20,3,0,20,0,0
6,25,22,0,0,20,3,0,20,0,0
6,25,23,0,0,21,3,0,21,0,0
6,26,0,0,0,20,3,0,20,0,0
6,26,1,0,0,20,3,0,20,0,0
6,26,2,0,0,20,3,0,20,0,0
6,26,3,0,0,20,2,0,20,0,0
6,26,4,0,3,20,2,2.835,18.226,2.513,0
6,26,5,15,69,21,2,64.704,20.965,56.022,49.855
6,26,6,130,153,21,2,181.987,24.364,150.768,142.532
6,26,7,352,212,22,2,387.072,31.206,315.241,302.622
6,26,8,362,291,22,2,544.48,35.922,441.1,424.448
6,26,9,715,181,23,2,803.731,43.892,627.933,604.207
6,26,10,414,379,23,3,792.316,41.917,626.511,602.845
6,26,11,75,451,23,3,525.865,35.843,428.797,412.565
6,26,12,244,463,23,3,720.717,39.657,576.569,554.917
6,26,13,84,419,23,3,493.054,34.918,403.832,388.436
6,26,14,257,365,23,3,574.714,36.25,466.84,449.29
6,26,15,251,288,22,3,444.694,32.454,365.814,351.645
6,26,16,226,203,22,3,294.019,28.611,241.57,231.039
6,26,17,199,119,21,2,152.526,24.339,120.78,113.235
6,26,18,43,50,21,2,44.021,20.914,38.549,32.726
6,26,19,0,0,20,2,0,20,0,0
6,26,20,0,0,20,2,0,20,0,0
6,26,21,0,0,20,2,0,20,0,0
6,26,22,0,0,20,1,0,20,0,0
6,26,23,0,0,20,1,0,20,0,0
6,27,0,0,0,19,1,0,19,0,0
6,27,1,0,0,19,1,0,19,0,0
6,27,2,0,0,19,1,0,19,0,0
6,27,3,0,0,19,1,0,19,0,0
6,27,4,0,0,19,1,0,19,0,0
6,27,5,0,14,20,1,13.25,18.141,11.751,6.435
6,27,6,0,109,20,0,102.863,21.493,89.837,82.969
6,27,7,41,218,21,0,229.458,28.944,192.594,183.339
6,27,8,22,258,21,0,262.461,31.328,218.631,208.708
6,27,9,16,271,21,1,274.28,28.909,231.3,221.043
6,27,10,21,325,21,1,334.38,30.817,279.438,267.859
6,27,11,43,412,21,1,453.903,34.706,372.202,357.831
6,27,12,53,423,21,1,474.25,35.84,386.712,371.875
6,27,13,91,423,21,1,503.652,36.797,408.688,393.131
6,27,14,26,299,21,1,313.308,31.239,261.213,250.145
6,27,15,163,298,21,1,395.235,32.849,325.196,312.28
6,27,16,203,206,20,1,285.548,28.89,234.804,224.454
6,27,17,87,122,20,1,131.41,23.507,109.016,101.732
6,27,18,130,53,20,1,42.659,19.815,37.546,31.743
6,27,19,0,0,19,2,0,19,0,0
6,27,20,0,0,19,2,0,19,0,0
6,27,21,0,0,19,2,0,19,0,0
6,27,22,0,0,19,3,0,19,0,0
6,27,23,0,0,19,3,0,19,0,0
6,28,0,0,0,19,3,0,19,0,0
6,28,1,0,0,20,4,0,20,0,0
6,28,2,0,0,20,4,0,20,0,0
6,28,3,0,0,20,4,0,20,0,0
6,28,4,0,0,20,4,0,20,0,0
6,28,5,0,10,20,4,9.461,18.759,8.367,3.113
6,28,6,0,93,20,4,88.022,20.516,77.222,70.621
6,28,7,264,229,20,5,357.845,25.882,300.272,288.093
6,28,8,20,252,21,4,255.255,25.921,218.208,208.296
6,28,9,27,317,21,4,334.218,27.42,283.84,272.135
6,28,10,30,360,21,4,385.23,28.682,325.253,312.334
6,28,11,17,312,21,4,319.061,27.359,271.097,259.754
6,28,12,749,198,21,4,955.888,40.717,760.592,731.056
6,28,13,694,218,21,4,876.511,40.296,698.533,671.797
6,28,14,58,347,21,4,386.773,29.818,324.595,311.696
6,28,15,27,246,21,4,254.889,25.973,217.681,207.783
6,28,16,517,151,21,3,374.114,29.019,299.989,287.819
6,28,17,390,108,20,3,184.294,23.814,138.273,130.328
6,28,18,39,49,20,3,43.298,19.926,38.089,32.275
6,28,19,0,0,20,3,0,20,0,0
6,28,20,0,0,20,3,0,20,0,0
6,28,21,0,0,20,3,0,20,0,0
6,28,22,0,0,20,3,0,20,0,0
6,28,23,0,0,20,3,0,20,0,0
6,29,0,0,0,20,3,0,20,0,0
6,29,1,0,0,20,3,0,20,0,0
6,29,2,0,0,19,3,0,19,0,0
6,29,3,0,0,19,3,0,19,0,0
6,29,4,0,5,19,3,4.727,17.478,4.205,0
6,29,5,45,70,20,3,66.509,20.018,56.646,50.465
6,29,6,12,131,20,3,126.639,21.635,109.959,102.654
6,29,7,17,194,21,3,192.95,24.4,165.866,157.269
6,29,8,0,100,21,3,95.217,22.225,82.877,76.157
6,29,9,37,339,21,3,364.714,28.399,308.281,295.868
6,29,10,31,364,21,2,390.249,30.872,326.038,313.096
6,29,11,180,477,21,2,666.432,38.055,537.462,517.323
6,29,12,83,452,21,2,533.806,35.524,435.956,419.48
6,29,13,236,431,21,3,653.063,36.17,531.506,511.593
6,29,14,325,349,21,4,613.951,34.204,503.621,484.747
6,29,15,80,287,21,3,328.582,28.842,276.293,264.803
6,29,16,310,191,21,3,319.977,27.928,261.889,250.802
6,29,17,197,119,20,3,152.497,22.913,121.686,114.12
6,29,18,180,52,20,3,41.959,19.81,36.93,31.139
6,29,19,0,0,20,3,0,20,0,0
6,29,20,0,0,20,3,0,20,0,0
6,29,21,0,0,20,3,0,20,0,0
6,29,22,0,0,20,3,0,20,0,0
6,29,23,0,0,20,3,0,20,0,0
6,30,0,0,0,20,3,0,20,0,0
6,30,1,0,0,19,3,0,19,0,0
6,30,2,0,0,19,2,0,19,0,0
6,30,3,0,0,19,2,0,19,0,0
6,30,4,0,8,19,2,7.569,17.326,6.738,1.514
6,30,5,278,62,20,2,71.44,20.139,51.551,45.473
6,30,6,2,123,20,2,116.332,21.587,101.46,94.342
6,30,7,25,203,20,2,205.537,24.157,176.729,167.868
6,30,8,72,309,21,2,350.714,29.325,294.643,282.628
6,30,9,102,390,21,2,471.13,32.932,389.501,374.573
6,30,10,104,441,21,3,538.147,33.375,444.144,427.387
6,30,11,87,458,21,3,545.239,33.701,449.31,432.374
6,30,12,77,446,21,3,521.774,33.176,431.077,414.768
6,30,13,26,336,21,3,355.831,29.253,299.603,287.444
6,30,14,58,345,21,3,384.924,29.524,323.501,310.636
6,30,15,14,220,20,2,218.986,25.413,187.624,178.493
6,30,16,20,178,20,2,177.274,23.74,152.608,144.329
6,30,17,202,119,20,2,153.708,22.963,122.442,114.86
6,30,18,75,49,20,3,41.623,19.805,36.635,30.85
6,30,19,0,0,18,3,0,18,0,0
6,30,20,0,0,18,3,0,18,0,0
6,30,21,0,0,17,3,0,17,0,0
6,30,22,0,0,17,3,0,17,0,0
6,30,23,0,0,17,3,0,17,0,0
7,1,0,0,0,17,3,0,17,0,0
7,1,1,0,0,16,3,0,16,0,0
7,1,2,0,0,16,3,0,16,0,0
7,1,3,0,0,16,3,0,16,0,0
7,1,4,38,9,16,3,7.807,14.481,7.04,1.81
7,1,5,420,57,16,3,77.229,16.204,51.995,45.908
7,1,6,648,80,16,3,267.035,20.996,202.707,193.196
7,1,7,776,93,17,3,490.264,27.79,398.285,383.071
7,1,8,849,101,18,3,698.575,34.168,567.809,546.501
7,1,9,889,107,18,3,868.723,38.544,697.162,670.486
7,1,10,918,108,19,2,990.021,45.577,768.096,738.212
7,1,11,920,114,19,1,1042.778,52.032,782.116,751.576
7,1,12,911,118,19,1,1028.983,51.86,772.45,742.363
7,1,13,30,350,19,1,373.687,33.47,308.272,295.859
7,1,14,508,276,20,1,694.266,40.935,550.241,529.615
7,1,15,8,199,19,1,195.018,26.527,166.263,157.657
7,1,16,65,201,19,1,219.476,24.851,186.744,177.635
7,1,17,227,116,18,1,156.618,21.954,124.204,116.581
7,1,18,372,39,18,1,29.714,17.46,26.435,20.845
7,1,19,0,0,17,2,0,17,0,0
7,1,20,0,0,17,3,0,17,0,0
7,1,21,0,0,16,4,0,16,0,0
7,1,22,0,0,16,4,0,16,0,0
7,1,23,0,0,15,3,0,15,0,0
7,2,0,0,0,15,3,0,15,0,0
7,2,1,0,0,15,3,0,15,0,0
7,2,2,0,0,14,3,0,14,0,0
7,2,3,0,0,14,3,0,14,0,0
7,2,4,107,9,14,3,6.302,12.4,5.735,0.53
7,2,5,534,44,15,4,72.469,15.074,43.543,37.623
7,2,6,724,63,15,4,273.584,19.677,205.962,196.367
7,2,7,823,76,16,3,496.539,26.962,404.066,388.661
7,2,8,881,86,17,3,705.134,33.355,575.209,553.611
7,2,9,914,94,18,3,876.285,38.731,702.529,675.617
7,2,10,913,112,18,2,989.163,44.633,771.199,741.17
7,2,11,427,394,19,1,844.27,46.666,651.526,626.815
7,2,12,917,115,19,1,1032.07,51.206,777.497,747.174
7,2,13,863,136,20,1,941.448,50.396,711.854,684.529
7,2,14,556,260,20,1,717.248,43.903,559.793,538.798
7,2,15,766,125,20,1,620.285,40.249,486.434,468.185
7,2,16,704,101,19,1,410.681,32.742,319.585,306.837
7,2,17,172,121,19,1,149.504,23.706,120.003,112.475
7,2,18,330,43,18,1,33.509,17.549,29.799,24.145
7,2,19,0,0,17,1,0,17,0,0
7,2,20,0,0,17,2,0,17,0,0
7,2,21,0,0,17,2,0,17,0,0
7,2,22,0,0,16,3,0,16,0,0
7,2,23,0,0,16,3,0,16,0,0
7,3,0,0,0,16,3,0,16,0,0
7,3,1,0,0,15,3,0,15,0,0
7,3,2,0,0,15,3,0,15,0,0
7,3,3,0,0,15,3,0,15,0,0
7,3,4,55,8,15,3,6.074,13.416,5.503,0.302
7,3,5,441,54,15,2,74.797,15.108,49.593,43.553
7,3,6,650,79,17,2,265.296,22.596,199.456,190.028
7,3,7,768,95,18,1,486.877,32.439,386.703,371.867
7,3,8,838,104,19,1,692.834,40.406,545.859,525.4
7,3,9,879,111,19,0,863.562,51.969,646.313,621.821
7,3,10,899,117,20,0,980.745,57.147,715.091,687.622
7,3,11,901,123,20,0,1032.925,59.186,744.884,716.071
7,3,12,892,127,20,1,1019.601,52.492,762.807,733.168
7,3,13,883,120,20,1,944.161,50.422,713.798,686.386
7,3,14,843,119,20,2,803.815,42.174,632.277,608.372
7,3,15,380,257,20,3,498.155,32.269,409.107,393.536
7,3,16,706,98,19,3,408.901,28.444,324.746,311.843
7,3,17,568,77,18,3,196.664,22.181,140.513,132.517
7,3,18,319,43,18,3,33.531,17.68,29.801,24.147
7,3,19,0,0,18,3,0,18,0,0
7,3,20,0,0,17,3,0,17,0,0
7,3,21,0,0,17,3,0,17,0,0
7,3,22,0,0,17,3,0,17,0,0
7,3,23,0,0,17,3,0,17,0,0
7,4,0,0,0,17,3,0,17,0,0
7,4,1,0,0,17,3,0,17,0,0
7,4,2,0,0,17,3,0,17,0,0
7,4,3,0,0,17,3,0,17,0,0
7,4,4,0,0,17,3,0,17,0,0
7,4,5,207,65,18,3,69.597,18.037,53.67,47.549
7,4,6,252,139,18,3,203.672,21.469,165.765,157.171
7,4,7,354,207,19,3,380.946,27.048,316.087,303.443
7,4,8,447,255,20,3,570.811,32.923,468.664,451.05
7,4,9,339,363,20,3,657.035,35.368,536.335,516.24
7,4,10,277,432,20,3,709.068,36.764,575.462,553.854
7,4,11,194,473,20,3,676.764,36.15,551.002,530.346
7,4,12,119,464,19,3,590.746,33.116,488.203,469.89
7,4,13,18,301,19,3,307.276,26.283,262.408,251.307
7,4,14,8,210,19,3,207.672,23.191,179.922,170.982
7,4,15,21,237,18,4,239.891,22.246,208.534,198.873
7,4,16,0,81,18,4,76.991,18.729,68.1,61.687
7,4,17,0,56,18,5,53.158,17.864,47.205,41.213
7,4,18,0,38,18,5,35.506,17.477,31.586,25.897
7,4,19,0,0,18,5,0,18,0,0
7,4,20,0,0,18,6,0,18,0,0
7,4,21,0,0,18,6,0,18,0,0
7,4,22,0,0,18,7,0,18,0,0
7,4,23,0,0,18,8,0,18,0,0
7,5,0,0,0,18,8,0,18,0,0
7,5,1,0,0,19,9,0,19,0,0
7,5,2,0,0,19,8,0,19,0,0
7,5,3,0,0,19,7,0,19,0,0
7,5,4,0,0,19,6,0,19,0,0
7,5,5,38,67,19,6,62.962,18.962,54.172,48.041
7,5,6,43,140,19,5,143.521,20.632,123.761,116.149
7,5,7,138,236,19,5,297.359,23.777,253.752,242.889
7,5,8,169,322,20,5,434.895,27.724,367.51,353.288
7,5,9,252,386,20,5,606.328,31.274,505.077,486.148
7,5,10,182,449,19,5,628.517,30.971,524.809,505.148
7,5,11,214,471,19,5,694.852,32.29,576.56,554.909
7,5,12,18,319,19,5,326.809,25.254,280.459,268.851
7,5,13,190,435,19,5,615.541,30.269,515.66,496.341
7,5,14,174,375,20,4,514.208,31.019,428.742,412.512
7,5,15,79,286,19,4,327.467,25.8,279.387,267.809
7,5,16,0,104,19,4,98.792,20.413,86.712,79.911
7,5,17,165,121,19,4,148.139,21.013,120.702,113.159
7,5,18,0,43,19,4,39.567,18.721,34.999,29.245
7,5,19,0,0,19,4,0,19,0,0
7,5,20,0,0,18,4,0,18,0,0
7,5,21,0,0,18,4,0,18,0,0
7,5,22,0,0,18,4,0,18,0,0
7,5,23,0,0,18,4,0,18,0,0
7,6,0,0,0,18,4,0,18,0,0
7,6,1,0,0,18,4,0,18,0,0
7,6,2,0,0,18,3,0,18,0,0
7,6,3,0,0,18,3,0,18,0,0
7,6,4,0,0,18,3,0,18,0,0
7,6,5,0,15,18,2,14.197,16.479,12.687,7.354
7,6,6,0,90,18,2,85.194,18.491,75.438,68.873
7,6,7,0,102,19,2,96.985,20.084,85.255,78.485
7,6,8,221,317,20,1,466.018,33.013,383.571,368.835
7,6,9,758,164,21,1,817.781,45.756,632.632,608.711
7,6,10,746,199,21,1,928.076,50.153,702.915,675.986
7,6,11,766,199,22,2,982.337,48.397,751.204,722.101
7,6,12,765,197,22,2,972.271,48.305,743.843,715.076
7,6,13,751,189,22,2,898.206,46.479,693.407,666.895
7,6,14,711,182,22,2,767.449,43.057,601.254,578.618
7,6,15,644,168,21,2,586.533,37.174,468.066,450.473
7,6,16,0,26,21,2,24.661,21.871,21.5,16.003
7,6,17,434,90,20,2,178.734,23.124,131.576,123.786
7,6,18,183,49,19,2,39.703,18.836,35.101,29.345
7,6,19,0,0,19,2,0,19,0,0
7,6,20,0,0,19,2,0,19,0,0
7,6,21,0,0,18,2,0,18,0,0
7,6,22,0,0,18,2,0,18,0,0
7,6,23,0,0,18,2,0,18,0,0
7,7,0,0,0,18,2,0,18,0,0
7,7,1,0,0,17,2,0,17,0,0
7,7,2,0,0,17,2,0,17,0,0
7,7,3,0,0,17,2,0,17,0,0
7,7,4,0,0,17,2,0,17,0,0
7,7,5,323,56,17,2,66.471,16.9,47.085,41.095
7,7,6,466,105,18,1,233.215,23.633,179.289,170.365
7,7,7,439,185,19,1,404.203,30.774,327.918,314.92
7,7,8,239,313,20,1,474.483,34.65,387.298,372.442
7,7,9,852,117,20,1,845.401,45.614,654.342,629.512
7,7,10,459,361,21,2,817.044,43.17,641.915,617.608
7,7,11,477,389,21,2,889.934,44.881,693.177,666.676
7,7,12,477,384,21,2,880.011,44.847,685.554,659.385
7,7,13,501,339,22,2,820.4,44.311,640.628,616.375
7,7,14,700,187,21,3,763.933,39.37,609.864,586.88
7,7,15,617,180,21,3,581.286,35.075,468.977,451.352
7,7,16,278,195,20,3,310.956,27.346,255.984,245.061
7,7,17,409,104,20,3,186.079,23.694,138.918,130.959
7,7,18,161,49,19,3,39.68,18.822,35.083,29.327
7,7,19,0,0,19,3,0,19,0,0
7,7,20,0,0,19,3,0,19,0,0
7,7,21,0,0,19,3,0,19,0,0
7,7,22,0,0,19,3,0,19,0,0
7,7,23,0,0,18,3,0,18,0,0
7,8,0,0,0,18,3,0,18,0,0
7,8,1,0,0,18,3,0,18,0,0
7,8,2,0,0,18,3,0,18,0,0
7,8,3,0,0,18,3,0,18,0,0
7,8,4,0,0,18,3,0,18,0,0
7,8,5,326,61,18,2,70.462,18.035,50.443,44.387
7,8,6,549,95,19,2,248.232,24.14,187.779,178.644
7,8,7,305,215,20,2,362.924,28.784,299.274,287.124
7,8,8,721,146,21,3,653.97,35.783,527.722,507.952
7,8,9,340,361,22,3,655.658,37.498,529.561,509.722
7,8,10,459,362,22,3,818.075,41.181,649.291,624.675
7,8,11,751,209,22,3,982.87,45.235,764.158,734.457
7,8,12,739,216,23,4,971.351,44.249,759.05,729.586
7,8,13,494,341,23,4,816.171,41.026,648.151,623.582
7,8,14,390,325,22,3,644.28,37.622,519.507,500.044
7,8,15,554,195,22,3,553.729,35.141,446.979,430.124
7,8,16,465,156,21,3,358.23,29.388,287.794,275.977
7,8,17,311,126,21,3,184.502,24.789,142.081,134.048
7,8,18,113,52,20,3,41.868,19.892,36.837,31.047
7,8,19,0,0,20,3,0,20,0,0
7,8,20,0,0,19,3,0,19,0,0
7,8,21,0,0,19,2,0,19,0,0
7,8,22,0,0,19,1,0,19,0,0
7,8,23,0,0,19,1,0,19,0,0
7,9,0,0,0,19,0,0,19,0,0
7,9,1,0,0,18,0,0,18,0,0
7,9,2,0,0,18,0,0,18,0,0
7,9,3,0,0,18,1,0,18,0,0
7,9,4,0,0,18,2,0,18,0,0
7,9,5,0,30,18,1,28.437,16.57,25.401,19.83
7,9,6,359,122,18,1,217.547,22.938,171.348,162.619
7,9,7,113,232,19,1,280.682,26.887,236.394,226.002
7,9,8,31,269,20,1,282.931,28.262,239.113,228.647
