PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,"02807, USA",,,,,,,,,
Location:,"Lat, Lon: 41.17, -71.58",,,,,,,,,
Lat (deg N):,41.17,,,,,,,,,
Long (deg W):,71.58,,,,,,,,,
Elev (m):,23,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.557,,,,,,,,,
Capacity Factor (%),"15.9	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,9,17,0,0,-1,0,0,-1,0,0
1,9,18,0,0,-1,0,0,-1,0,0
1,9,19,0,0,-1,0,0,-1,0,0
1,9,20,0,0,-1,0,0,-1,0,0
1,9,21,0,0,-1,1,0,-1,0,0
1,9,22,0,0,-1,2,0,-1,0,0
1,9,23,0,0,-1,2,0,-1,0,0
1,10,0,0,0,-1,3,0,-1,0,0
1,10,1,0,0,-1,3,0,-1,0,0
1,10,2,0,0,0,3,0,0,0,0
1,10,3,0,0,0,3,0,0,0,0
1,10,4,0,0,0,2,0,0,0,0
1,10,5,0,0,0,2,0,0,0,0
1,10,6,0,0,0,2,0,0,0,0
1,10,7,0,4,1,3,3.78,-0.866,3.643,0
1,10,8,0,26,2,3,24.635,0.684,23.585,18.049
1,10,9,0,48,3,3,45.542,2.282,43.308,37.392
1,10,10,0,58,4,3,55.064,3.591,52.071,45.982
1,10,11,0,68,4,3,64.592,3.858,61.012,54.744
1,10,12,0,17,5,2,16.113,3.493,15.244,9.863
1,10,13,0,62,5,2,58.871,4.53,55.448,49.292
1,10,14,0,32,4,2,30.331,2.865,28.772,23.137
1,10,15,0,15,4,2,14.197,2.293,13.5,8.152
1,10,16,0,0,4,2,0,4,0,0
1,10,17,0,0,5,2,0,5,0,0
1,10,18,0,0,5,2,0,5,0,0
1,10,19,0,0,5,1,0,5,0,0
